# ./sample_venc 0
READ_REG A= 0x30E0, D= 0x0 
READ_REG A= 0x30E1, D= 0xFF 
READ_REG A= 0x30E2, D= 0xFF 
READ_REG A= 0x30E3, D= 0xFF 
READ_REG A= 0x30E4, D= 0x0 
READ_REG A= 0x30E5, D= 0x0 
READ_REG A= 0x30E6, D= 0x0 
READ_REG A= 0x30E7, D= 0x0 
READ_REG A= 0x30E8, D= 0x0 
READ_REG A= 0x30E9, D= 0x0 
READ_REG A= 0x30EA, D= 0x0 
READ_REG A= 0x30EB, D= 0x1 
READ_REG A= 0x30EC, D= 0x2 
READ_REG A= 0x30ED, D= 0x42 
READ_REG A= 0x30EE, D= 0x44 
READ_REG A= 0x30EF, D= 0x0 
READ_REG A= 0x30F0, D= 0xF0 
READ_REG A= 0x30F1, D= 0x0 
READ_REG A= 0x30F2, D= 0x0 
READ_REG A= 0x30F3, D= 0x0 
READ_REG A= 0x30F4, D= 0xF0 
READ_REG A= 0x30F5, D= 0x0 
READ_REG A= 0x30F6, D= 0x0 
READ_REG A= 0x30F7, D= 0x0 
READ_REG A= 0x30F8, D= 0xF0 
READ_REG A= 0x30F9, D= 0x0 
READ_REG A= 0x30FA, D= 0x0 
READ_REG A= 0x30FB, D= 0x0 
READ_REG A= 0x30FC, D= 0x0 
READ_REG A= 0x30FD, D= 0x0 
READ_REG A= 0x30FE, D= 0x0 

READ_REG A= 0x3100, D= 0x0 
READ_REG A= 0x3101, D= 0x0 
READ_REG A= 0x3102, D= 0x0 
READ_REG A= 0x3103, D= 0x0 
READ_REG A= 0x3104, D= 0x0 
READ_REG A= 0x3105, D= 0x0 
READ_REG A= 0x3106, D= 0x0 
READ_REG A= 0x3107, D= 0x0 
READ_REG A= 0x3108, D= 0x0 
READ_REG A= 0x3109, D= 0x92 
READ_REG A= 0x310A, D= 0x0 
READ_REG A= 0x310B, D= 0x1 
READ_REG A= 0x310C, D= 0x0 
READ_REG A= 0x310D, D= 0x7 
READ_REG A= 0x310E, D= 0x1 
READ_REG A= 0x310F, D= 0x3 
READ_REG A= 0x3110, D= 0xFF 
READ_REG A= 0x3111, D= 0x1F 
READ_REG A= 0x3112, D= 0x0 
READ_REG A= 0x3113, D= 0x0 
READ_REG A= 0x3114, D= 0xFF 
READ_REG A= 0x3115, D= 0x1F 
READ_REG A= 0x3116, D= 0x0 
READ_REG A= 0x3117, D= 0x0 
READ_REG A= 0x3118, D= 0x0 
READ_REG A= 0x3119, D= 0x9E 
READ_REG A= 0x311A, D= 0x1 
READ_REG A= 0x311B, D= 0x1 
READ_REG A= 0x311C, D= 0x1E 
READ_REG A= 0x311D, D= 0x0 
READ_REG A= 0x311E, D= 0x8 
