# ./sample_venc 0
READ_REG A= 0x3516, D= 0x0 
READ_REG A= 0x3517, D= 0x0 
READ_REG A= 0x3518, D= 0x0 
READ_REG A= 0x3519, D= 0x0 
READ_REG A= 0x351A, D= 0x0 
READ_REG A= 0x351B, D= 0x0 
READ_REG A= 0x351C, D= 0x0 
READ_REG A= 0x351D, D= 0x0 
READ_REG A= 0x351E, D= 0x0 
READ_REG A= 0x351F, D= 0x0 
READ_REG A= 0x3520, D= 0x0 
READ_REG A= 0x3521, D= 0x0 
READ_REG A= 0x3522, D= 0x0 
READ_REG A= 0x3523, D= 0x0 
READ_REG A= 0x3524, D= 0x0 
READ_REG A= 0x3525, D= 0x0 
READ_REG A= 0x3526, D= 0x0 
READ_REG A= 0x3527, D= 0x0 
READ_REG A= 0x3528, D= 0x0 
READ_REG A= 0x3529, D= 0x0 
READ_REG A= 0x352A, D= 0x0 
READ_REG A= 0x352B, D= 0x0 
READ_REG A= 0x352C, D= 0x0 
READ_REG A= 0x352D, D= 0x0 
READ_REG A= 0x352E, D= 0x0 
READ_REG A= 0x352F, D= 0x0 
READ_REG A= 0x3530, D= 0x0 
READ_REG A= 0x3531, D= 0x0 
READ_REG A= 0x3532, D= 0x0 
READ_REG A= 0x3533, D= 0x0 
READ_REG A= 0x3534, D= 0x0 
READ_REG A= 0x3535, D= 0x0 
READ_REG A= 0x3536, D= 0x0 
READ_REG A= 0x3537, D= 0x0 
READ_REG A= 0x3538, D= 0x0 
READ_REG A= 0x3539, D= 0x0 
READ_REG A= 0x353A, D= 0x0 
READ_REG A= 0x353B, D= 0x0 
READ_REG A= 0x353C, D= 0x0 
READ_REG A= 0x353D, D= 0x0 
READ_REG A= 0x353E, D= 0x0 
READ_REG A= 0x353F, D= 0x0 
READ_REG A= 0x3540, D= 0x0 
READ_REG A= 0x3541, D= 0x0 
READ_REG A= 0x3542, D= 0x0 
READ_REG A= 0x3543, D= 0x0 
READ_REG A= 0x3544, D= 0x0 
READ_REG A= 0x3545, D= 0x0 
READ_REG A= 0x3546, D= 0x0 
READ_REG A= 0x3547, D= 0x0 
READ_REG A= 0x3548, D= 0x0 
READ_REG A= 0x3549, D= 0x0 
READ_REG A= 0x354A, D= 0x0 
READ_REG A= 0x354B, D= 0x0 
READ_REG A= 0x354C, D= 0x0 
READ_REG A= 0x354D, D= 0x0 
READ_REG A= 0x354E, D= 0x0 
READ_REG A= 0x354F, D= 0x0 
READ_REG A= 0x3550, D= 0x0 
READ_REG A= 0x3551, D= 0x0 
READ_REG A= 0x3552, D= 0x0 
READ_REG A= 0x3553, D= 0x0 
READ_REG A= 0x3554, D= 0x0 
READ_REG A= 0x3555, D= 0x0 
READ_REG A= 0x3556, D= 0x0 
READ_REG A= 0x3557, D= 0x0 
READ_REG A= 0x3558, D= 0x0 
READ_REG A= 0x3559, D= 0x0 
READ_REG A= 0x355A, D= 0x0 
READ_REG A= 0x355B, D= 0x0 
READ_REG A= 0x355C, D= 0x0 
READ_REG A= 0x355D, D= 0x0 
READ_REG A= 0x355E, D= 0x0 
READ_REG A= 0x355F, D= 0x0 
READ_REG A= 0x3560, D= 0x0 
READ_REG A= 0x3561, D= 0x0 
READ_REG A= 0x3562, D= 0x0 
READ_REG A= 0x3563, D= 0x0 
READ_REG A= 0x3564, D= 0x0 
READ_REG A= 0x3565, D= 0x0 
READ_REG A= 0x3566, D= 0x0 
READ_REG A= 0x3567, D= 0x0 
READ_REG A= 0x3568, D= 0x0 
READ_REG A= 0x3569, D= 0x0 
READ_REG A= 0x356A, D= 0x0 
READ_REG A= 0x356B, D= 0x0 
READ_REG A= 0x356C, D= 0x0 
READ_REG A= 0x356D, D= 0x0 
READ_REG A= 0x356E, D= 0x0 
READ_REG A= 0x356F, D= 0x0 
READ_REG A= 0x3570, D= 0x0 
READ_REG A= 0x3571, D= 0x0 
READ_REG A= 0x3572, D= 0x0 
READ_REG A= 0x3573, D= 0x0 
READ_REG A= 0x3574, D= 0x0 
READ_REG A= 0x3575, D= 0x0 
READ_REG A= 0x3576, D= 0x0 
READ_REG A= 0x3577, D= 0x0 
READ_REG A= 0x3578, D= 0x0 
READ_REG A= 0x3579, D= 0x0 
READ_REG A= 0x357A, D= 0x0 
READ_REG A= 0x357B, D= 0x0 
READ_REG A= 0x357C, D= 0x0 
READ_REG A= 0x357D, D= 0x0 
READ_REG A= 0x357E, D= 0x0 
READ_REG A= 0x357F, D= 0x0 
READ_REG A= 0x3580, D= 0x0 
READ_REG A= 0x3581, D= 0x0 
READ_REG A= 0x3582, D= 0x0 
READ_REG A= 0x3583, D= 0x0 
READ_REG A= 0x3584, D= 0x0 
READ_REG A= 0x3585, D= 0x0 
READ_REG A= 0x3586, D= 0x0 
READ_REG A= 0x3587, D= 0x0 
READ_REG A= 0x3588, D= 0x0 
READ_REG A= 0x3589, D= 0x0 
READ_REG A= 0x358A, D= 0x0 
READ_REG A= 0x358B, D= 0x0 
READ_REG A= 0x358C, D= 0x0 
READ_REG A= 0x358D, D= 0x0 
READ_REG A= 0x358E, D= 0x0 
READ_REG A= 0x358F, D= 0x0 
READ_REG A= 0x3590, D= 0x0 
READ_REG A= 0x3591, D= 0x0 
READ_REG A= 0x3592, D= 0x0 
READ_REG A= 0x3593, D= 0x0 
READ_REG A= 0x3594, D= 0x0 
READ_REG A= 0x3595, D= 0x0 
READ_REG A= 0x3596, D= 0x0 
READ_REG A= 0x3597, D= 0x0 
READ_REG A= 0x3598, D= 0x0 
READ_REG A= 0x3599, D= 0x0 
READ_REG A= 0x359A, D= 0x0 
READ_REG A= 0x359B, D= 0x0 
READ_REG A= 0x359C, D= 0x0 
READ_REG A= 0x359D, D= 0x0 
READ_REG A= 0x359E, D= 0x0 
READ_REG A= 0x359F, D= 0x0 
READ_REG A= 0x35A0, D= 0x0 
READ_REG A= 0x35A1, D= 0x0 
READ_REG A= 0x35A2, D= 0x0 
READ_REG A= 0x35A3, D= 0x0 
READ_REG A= 0x35A4, D= 0x0 
READ_REG A= 0x35A5, D= 0x0 
READ_REG A= 0x35A6, D= 0x0 
READ_REG A= 0x35A7, D= 0x0 
READ_REG A= 0x35A8, D= 0x0 
READ_REG A= 0x35A9, D= 0x0 
READ_REG A= 0x35AA, D= 0x0 
READ_REG A= 0x35AB, D= 0x0 
READ_REG A= 0x35AC, D= 0x0 
READ_REG A= 0x35AD, D= 0x0 
READ_REG A= 0x35AE, D= 0x0 
READ_REG A= 0x35AF, D= 0x0 
READ_REG A= 0x35B0, D= 0x0 
READ_REG A= 0x35B1, D= 0x0 
READ_REG A= 0x35B2, D= 0x0 
READ_REG A= 0x35B3, D= 0x0 
READ_REG A= 0x35B4, D= 0x0 
READ_REG A= 0x35B5, D= 0x0 
READ_REG A= 0x35B6, D= 0x0 
READ_REG A= 0x35B7, D= 0x0 
READ_REG A= 0x35B8, D= 0x0 
READ_REG A= 0x35B9, D= 0x0 
READ_REG A= 0x35BA, D= 0x0 
READ_REG A= 0x35BB, D= 0x0 
READ_REG A= 0x35BC, D= 0x0 
READ_REG A= 0x35BD, D= 0x0 
READ_REG A= 0x35BE, D= 0x0 
READ_REG A= 0x35BF, D= 0x0 
READ_REG A= 0x35C0, D= 0x0 
READ_REG A= 0x35C1, D= 0x0 
READ_REG A= 0x35C2, D= 0x0 
READ_REG A= 0x35C3, D= 0x0 
READ_REG A= 0x35C4, D= 0x0 
READ_REG A= 0x35C5, D= 0x0 
READ_REG A= 0x35C6, D= 0x0 
READ_REG A= 0x35C7, D= 0x0 
READ_REG A= 0x35C8, D= 0x0 
READ_REG A= 0x35C9, D= 0x0 
READ_REG A= 0x35CA, D= 0x0 
READ_REG A= 0x35CB, D= 0x0 
READ_REG A= 0x35CC, D= 0x0 
READ_REG A= 0x35CD, D= 0x0 
READ_REG A= 0x35CE, D= 0x0 
READ_REG A= 0x35CF, D= 0x0 
READ_REG A= 0x35D0, D= 0x0 
READ_REG A= 0x35D1, D= 0x0 
READ_REG A= 0x35D2, D= 0x0 
READ_REG A= 0x35D3, D= 0x0 
READ_REG A= 0x35D4, D= 0x0 
READ_REG A= 0x35D5, D= 0x0 
READ_REG A= 0x35D6, D= 0x0 
READ_REG A= 0x35D7, D= 0x0 
READ_REG A= 0x35D8, D= 0x0 
READ_REG A= 0x35D9, D= 0x0 
READ_REG A= 0x35DA, D= 0x0 
READ_REG A= 0x35DB, D= 0x0 
READ_REG A= 0x35DC, D= 0x0 
READ_REG A= 0x35DD, D= 0x0 
READ_REG A= 0x35DE, D= 0x0 
READ_REG A= 0x35DF, D= 0x0 
READ_REG A= 0x35E0, D= 0x0 
READ_REG A= 0x35E1, D= 0x0 
READ_REG A= 0x35E2, D= 0x0 
READ_REG A= 0x35E3, D= 0x0 
READ_REG A= 0x35E4, D= 0x0 
READ_REG A= 0x35E5, D= 0x0 
READ_REG A= 0x35E6, D= 0x0 
READ_REG A= 0x35E7, D= 0x0 
READ_REG A= 0x35E8, D= 0x0 
READ_REG A= 0x35E9, D= 0x0 
READ_REG A= 0x35EA, D= 0x0 
READ_REG A= 0x35EB, D= 0x0 
READ_REG A= 0x35EC, D= 0x0 
READ_REG A= 0x35ED, D= 0x0 
READ_REG A= 0x35EE, D= 0x0 
READ_REG A= 0x35EF, D= 0x0 
READ_REG A= 0x35F0, D= 0x0 
READ_REG A= 0x35F1, D= 0x0 
READ_REG A= 0x35F2, D= 0x0 
READ_REG A= 0x35F3, D= 0x0 
READ_REG A= 0x35F4, D= 0x0 
READ_REG A= 0x35F5, D= 0x0 
READ_REG A= 0x35F6, D= 0x0 
READ_REG A= 0x35F7, D= 0x0 
READ_REG A= 0x35F8, D= 0x0 
READ_REG A= 0x35F9, D= 0x0 
READ_REG A= 0x35FA, D= 0x0 
READ_REG A= 0x35FB, D= 0x0 
READ_REG A= 0x35FC, D= 0x0 
READ_REG A= 0x35FD, D= 0x0 
READ_REG A= 0x35FE, D= 0x0 
program exit normally!
